,Title,Keywords,Topics,High-Level Keyword(s),Abstract
37,Social Rankings in Human-Computer Committees,human-computer decision-making human-computer interaction ai and social science,"Computational Social Science
Human-Computer Interaction","Applications
Multidisciplinary Topics","despite committees and elections being widespread in the real-world,  the design of agents for operating in human-computer committees has  received far less attention than the theoretical analysis of voting  strategies. we address this gap by providing an agent design that  outperforms other voters in groups comprising both people and  computer agents. in our setting participants vote by simultaneously  submitting a ranking over a set of candidates and the election  system uses a social welfare rule to select a  ranking that minimizes disagreements with participants' votes. we  ran an extensive study in which hundreds of people participated in  repeated voting rounds with other people as well as computer agents  that differed in how they employ strategic reasoning in their voting  behavior. our results show that over time, people learn to deviate  from truthful voting strategies, and use heuristics to guide their  play, such as repeating their vote from the previous round. we show  that a computer agent using a best response voting strategy was able  to outperform people in the game.  our study has implication for  agent designers, highlighting the types of strategies that enable  agents to succeed in committees comprising both human and computer  participants.  this is the first work to study the role of computer  agents in voting settings involving both human and agent  participants."
38,Data-Parallel Computing Meets STRIPS,planning query optimization data-parallel computing,"Optimization
Other Applications
Deterministic Planning
Planning (General/Other)","Heuristic Search and Optimization
Applications
Reasoning about Plans, Processes, and Actions","the increased demand for distributed computations on “big data” has led to solutions such as scope, dryadlinq, pig, and hive, which  allow the user to specify queries in an sql-like language, enriched with sets of user-defined operators. the lack of exact semantics for user-defined operators interferes with the query optimization process, thus putting the burden of suggesting, at least partial, query plans on the user. in an attempt to ease this burden, we propose a formal model that allows for data-parallel program synthesis (dpps) in a semantically well-deﬁned manner. we show that this model generalizes existing frameworks for data-parallel computation, while providing the flexibility of query plan generation that is currently absent from these frameworks. in particular, we show how existing, off-the-shelf, ai planning tools can be used for solving dpps tasks."
39,Interdependent Multi-Issue Negotiation for Energy Exchange in Remote Communities,concurrent negotiation negotiation protocol energy exchange multiagent systems nash bargaining solution complex negotiation multi-issue negotiation interdependent issues,"Negotiation and Contract-Based Systems
Multiagent Systems (General/other)",Multiagent Systems,"we present a novel negotiation protocol to facilitate energy exchange between off-grid homes that are equipped with renewable energy generation and electricity storage. our protocol imposes restrictions over negotiation such that it reduces the complex interdependent multi-issue negotiation to one where agents have a strategy profile in subgame perfect nash equilibrium. we show that our negotiation protocol is tractable, concurrent, scalable and leads to pareto-optimal outcomes in a decentralised manner. we empirically evaluate our protocol and show that, in this instance, a society of agents can (i) improve the overall utilities by 14% and (ii) reduce their overall use of the batteries by 37%."
40,Unsupervised Cluster Matching via Probabilistic Latent Variable Models,cluster matching latent variable model bayesian nonparametrics,"Bayesian Learning
Clustering
Unsupervised Learning (Other)",Machine Learning,"we propose a probabilistic latent variable model for unsupervised cluster matching, which is the task of finding correspondences between clusters of objects in different domains. existing object matching methods find one-to-one matching in two domains. the proposed model finds many-to-many matching, and can handle multiple domains with different numbers of objects. the proposed model assumes that there are an infinite number of latent vectors that are shared by all domains, and each object is generated using one of the latent vectors and a domain-specific linear projection. by inferring a latent vector to be used for generating each object, objects in different domains are clustered in shared groups, and thus we can find matching between clusters in an unsupervised manner. we present efficient inference procedures of the proposed model based on a stochastic em algorithm. the effectiveness of the proposed model is demonstrated with experiments using synthetic and real data sets."
41,Projected Group Sparse Coding for Image Classification,sparse learning supervised dimension reduction,Classification,Machine Learning,"classic sparse representation for classification (src) method fails to incorporate the label information of training images, and meanwhile has a poor scalability due to the expensive computation for l1 norm. in this paper, we propose a novel subspace sparse coding method with utilizing label information to effectively classify the images in the subspace. our new approach unifies the tasks of dimension reduction and supervised sparse vector learning, by simultaneously preserving the data sparse structure and meanwhile seeking the optimal projection direction in the training stage, therefore accelerates the classification process in the test stage. in particular, for the representation vector learning during the training, we provide a novel algorithm that provides a closed form solution, which significantly reduces the computation time than classic gradient methods. our method achieves both flat sparsity and structured sparsity for the representation vector, therefore making it more discriminative during the subspace learning and subsequent classification. finally, the empirical classification experiments on 4 commonly used benchmark data sets demonstrate the effectiveness of our method."
42,Deep Manifold Learning,multiscale analysis deep learning diffusion wavelets,"Dimension Reduction/Feature Selection
Neural Networks/Deep Learning
Unsupervised Learning (Other)
Machine Learning (General/other)",Machine Learning,"many high-dimensional data sets that lie on a low-dimensional manifold exhibit nontrivial regularities at multiple scales. most work in manifold learning ignores this multiscale structure. in this paper, we propose approaches to explore the deep structures of manifolds. the proposed approaches are based on the diffusion wavelets model, data driven, and able to directly process directional neighborhood relationships without ad-hoc symmetrization. the proposed multiscale algorithms are evaluated using both synthetic and real-world data sets."
43,Improved Optimal Search Heuristics with Manifold Learning,heuristic search machine learning manifold learning euclidean heuristic,"Heuristic Search
Optimization
Dimension Reduction/Feature Selection","Heuristic Search and Optimization
Machine Learning","recently, a euclidean heuristic (eh) has been proposed for a* search. eh exploits manifold learning methods to construct an embedding of the state space graph, and derives an admissible heuristic distance between two states from the euclidean distance between their respective embedded points. eh has shown good performance and memory efficiency in comparison to other existing heuristics such as differential heuristics. however, its potential has not been fully explored. in this paper, we propose a number of techniques that can significantly improve the quality of eh. we propose a goal-oriented manifold learning scheme that optimizes the euclidean distance to goals in the embedding while maintaining admissibility and consistency. we also propose a state heuristic enhancement technique to reduce the gap between heuristic and true distances. the enhanced heuristic is admissible but no longer consistent. we then employ a modified search algorithm that achieves optimality with inconsistent heuristics using consistency check and propagation. we demonstrate the effectiveness of the above techniques and report un-matched reduction in search costs across several non-trivial benchmark search problems."
44,Robust Discrete Matrix Completion,discrete matrix completion social network link prediction protein-protein interaction prediction,"Information Retrieval
Biomedical / Bioinformatics
Social Networks","Knowledge-Based Systems
Applications","missing data inference is an important research topic in data mining and has many applications in various disciplines. in many practical problems, such task can be formulated as recovering a matrix from a sampling of its entries. there have been many classic algorithms proposed for such matrix completion problems including recently popular trace norm minimization method. however, most current matrix completion methods seek the matrix global structure in the real number domain and produce predictions that are inappropriate for applications that retain discrete structure. in these cases, an additional step is required to post-process these predictions with either heuristic threshold parameters or some complicated mappings, such ad-hoc process is often both inefficient and impractical. in this paper, we propose a novel robust discrete matrix completion algorithm that produces the prediction from the collection of user specified label values. such method achieves a high prediction accuracy, very close to the optimal value of competitive methods with threshold values tuning. we solve the daunting integer programming problem via incorporating augmented lagrangian method in an elegant way, which greatly accelerates the converge process of our method and provides the asymptotic convergence in theory. extensive experiments have been conducted on 3 types of real data sets and all empirical results demonstrate the effectiveness of our method."
45,Spectral Rotation vs K-means in Spectral Clustering,spectral rotation spectral clustering k-means,"Clustering
Evaluation and Analysis (Machine Learning)",Machine Learning,"although spectral clustering is the state-of-the-art data clustering algorithm, the graph based clustering approaches often resort to other clustering methods, such as $k$-means, to get the final cluster structure. the potential flaw of such common practice is that the obtained relaxed continuous spectral solution could severely deviate from the true discrete solution. in this paper, we propose to impose an additional orthonormal constraint to better approximate the optimal continuous solution of the spectral clustering objective function. such a method, called spectral rotation in literature, optimizes the spectral clustering objective functions better than $k$-means, such that the clustering accuracy is enhanced. we provide efficient algorithm to rigorously solve the new formulated problem, which is not significantly more costly than $k$-means. we also establish the connection between our method and $k$-means approach, to provide theoretical motivation of our method. experimental results show that our algorithm ph{consistently} reaches better cut and meanwhile outperforms in clustering metrics than classic spectral clustering methods."
46,Guiding Scientific Discovery with Explanations,eigenbasis modeling reconstruction error scientific discovery machine learning interpretable machine learning explanations,"Data Mining and Knowledge Discovery
AI and Natural Sciences","Machine Learning
Applications","in the era of large scientific data sets, there is an urgent need for methods to automatically prioritize data for review. at the same time, for any automated method to be adopted by scientists, it must make decisions that they can understand and trust. in this paper, we propose discovery through eigenbasis modeling of uninteresting data (demud), which uses principal components modeling and reconstruction error to prioritize data. demud’s major advance is to offer domain-specific explanations for its prioritizations. we evaluated demud’s ability to quickly identify diverse items of interest and the value of the explanations it provides. we found that demud performs as well or better than existing class discovery methods and provides, uniquely, the first explanations for why those items are of interest. further, in collaborations with planetary scientists, we found that demud (1) quickly identifies very rare items of scientific value, (2) maintains high diversity in its selections, and (3) provides explanations that greatly improve human classification accuracy."
47,Improving the Performance of Consistency Algorithms by Localizing and Bolstering Propagation in a Tree Decomposition,consistency property relational consistency solving csps tree decomposition,"Constraint Satisfaction (General/other)
Constraint Satisfaction",Constraints and Satisfiability,"certain classes of constraint satisfaction problems (csps) can be solved in polynomial time when the consistency level corresponds to a structural parameter of the constraint network such as the treewidth or the hypertree width. in this work we exploit this condition and propose new techniques that allow us to practically approach the necessary consistency level. we proposed to apply the parametrized relational consistency property r(∗,m)c locally to the clusters of a tree decomposition and set the value of m to the total number of relations in the cluster. moreover, we propose different schemes to bolster the separators to enhance the propagation. we conceptually compare the resulting new consistency properties to other consistency properties, and empirically evaluate them against gac, maxrpwc and wr(∗,m)c. the empirical results suggest that our technique outperforms gac, maxrpwc, and wr(∗,m)c in certain hard csp classes."
48,Domain-specific Heuristics in Answer Set Programming,answer set programming answer set solving heuristics conflict-driven clause learning,"SAT and CSP: Solvers and Tools
Heuristic Search
Logic Programming
Knowledge Representation (General/Other)","Constraints and Satisfiability
Heuristic Search and Optimization
Knowledge Representation and Reasoning",we introduce a general declarative framework for incorporating domain-specific heuristics into asp solving. we accomplish this by extending the first-order modeling language of asp by a distinguished heuristic predicate. the resulting heuristic information is processed as an equitable part of the logic program and subsequently exploited by the solver when it comes to non-deterministically assigning a truth value to an atom. we implemented our approach as a dedicated heuristic in the asp solver clasp and show its great prospect by an empirical evaluation.
49,Dynamic Social Choice: Foundations and Algorithms,computational social choice markov decision processes voting,Social Choice / Voting,Multiagent Systems,"social choice theory provides insights into a variety of collective decision making settings, but nowadays some of its tenets are challenged by internet environments, which call for dynamic decision making under constantly changing preferences. in this paper we model the problem via markov decision processes (mdp), where the states of the mdp coincide with preference profiles and a (deterministic, stationary) policy corresponds to a social choice function. we can therefore employ the axioms studied in the social choice literature as guidelines in the design of socially desirable policies. we present tractable algorithms that compute optimal policies under different prominent social choice constraints. our machinery relies on techniques for exploiting symmetries and isomorphisms between mdps."
50,Information Sharing Under Costly Communication in Joint Exploration,multi-agent exploration cooperation coordination dynamic spectrum access networks,"Coordination and Collaboration
Multiagent Systems (General/other)",Multiagent Systems,"this paper studies distributed cooperative multi-agent exploration methods in settings where the exploration is costly and the overall performance measure is determined by the minimum performance achieved by any of the individual agents. such an exploration setting is applicable to various multi-agent systems, e.g., in dynamic spectrum access exploration. the goal in such problems is to optimize the process as a whole, considering the tradeoffs between the quality of the solution obtained and the cost associated with the exploration and coordination between the agents. through the analysis of the two extreme cases where coordination is completely free and when entirely disabled, we manage to extract the solution for the general case where coordination is taken to be costly, modeled as a fee that needs to be paid for each additional coordinated agent. the strategy structure for the general case is shown to be threshold-based, and the thresholds which are analytically derived in this paper can be calculated offline, resulting in a very low online computational load. finally, we analyze the case where the coordination is provided by a self-interested agent, showing that given the option for side-payments better socially-beneficial solutions can be extracted."
51,Smart Multi-task Bregman Clustering and Multi-task Kernel Clustering,multi-task clustering multi-task learning mercer kernel,"Optimization
Clustering
Kernel Methods","Heuristic Search and Optimization
Machine Learning","multitask bregman clustering (mbc) alternatively updates clusters and learns relationship between clusters of different tasks, and the two phases boost each other. however, the boosting does not always have positive effects, it may also cause negative effects. another issue of mbc is that it cannot deal with nonlinear separable data. in this paper, we show that mbc's process of using cluster relationship to boost the updating clusters phase may cause negative effects, i.e., cluster centroid may be skewed under some conditions. we propose a smart multi-task bregman clustering (s-mbc) algorithm which identifies negative effects of the boosting and avoids the negative effect if it occurs. we then extend the framework of s-mbc to a smart multi-task kernel clustering (s-mkc) framework to deal with nonlinear separable data. we also propose a specific implementation of the framework which could be applied to any mercer kernel. experimental results confirm our analysis, and demonstrate the superiority of our proposed methods."
52,Cost-Optimal Planning by Self-Interested Agents,classical planning cost optimal planning multi-agent planning selfish agents mechanism design,"Distributed Search
Mechanism Design
Multiagent Planning
Deterministic Planning","Heuristic Search and Optimization
Multiagent Systems
Reasoning about Plans, Processes, and Actions","as our world becomes better connected, more open ended, production becomes more customized, and autonomous agents no longer appear to be science fiction, a natural need arises for enabling groups of selfish agents to cooperate in generating a plan for diverse tasks that none of them can perform alone in a cost-effective manner. while most work on planning for/by selfish agents revolves around finding stable solutions (e.g., nash equilibrium), this work combines techniques from mechanism design with a recently introduced method for distributed planning, in order to find cost optimal (and, thus, social welfare maximizing) solutions. based on the vickrey-clarke-groves mechanisms, we present both a centralized, and a privacy-preserving distributed mechanism."
53,Simple Temporal Problems with Taboo Regions,temporal reasoning constraint satisfaction algorithms and complexity,"Constraint Optimization
Constraint Satisfaction (General/other)
Geometric, Spatial, and Temporal Reasoning
Scheduling","Constraints and Satisfiability
Knowledge Representation and Reasoning
Reasoning about Plans, Processes, and Actions","in this paper, we define and study the general framework of simple temporal problems with taboo regions (stpts), and we show how these problems capture metric temporal reasoning aspects which are common to many real-world applications. stpts encode simple temporal constraints between events and user-defined taboo regions on the timeline during which no event is allowed to execute. we discuss two different variants of stpts. the first one deals with instantaneous events, while the second one allows for processes with flexible durations. we also provide polynomial-time algorithms for solving them. when not all events or processes can be scheduled outside of the taboo regions, one needs to define and reason about soft stpts. we show that even soft stpts can be solved in polynomial time, using reductions to max-flow. this also allows for incremental computation, which is central to the successful application of our approach in real-time domains."
54,A Cyclic Weighted Median Method for L1 Low-Rank Matrix Factorization with Missing Entries,low rank matrix factorization face modeling weighted median,"Unsupervised Learning (Other)
Machine Learning (General/other)",Machine Learning,"a challenging problem in machine learning, information retrieval and computer vision research is how to recover a low-rank representation of the given data in the presence of outliers and missing entries. the l1-norm low-rank matrix factorization (lrmf) has been a popular approach to solving this problem. however, l1-norm lrmf is difficult to achieve due to its non-convexity and non-smoothness, and existing methods are often inefficient and fail to converge to a desired solution. in this paper we propose a novel cyclic weighted median (cwm) method, which is intrinsically a coordinate decent algorithm, for l1-norm lrmf. the cwm method minimizes the objective by solving a sequence of scalar minimization sub-problems, each of which is convex and can be easily solved by the weighted median filter. the extensive experimental results validate that the proposed cwm method outperforms state-of-the-arts in terms of both accuracy and computational efficiency."
55,How Bad is Selfish Voting?,computational social choice price of anarchy best response dynamics,"Game Theory
Social Choice / Voting",Multiagent Systems,"it is well known that strategic behavior in elections is essentially unavoidable; we therefore ask: how bad can the rational outcome be? we answer this question via the notion of the price of anarchy, using the scores of alternatives as a proxy for their quality and bounding the ratio between the score of the optimal alternative and the score of the winning alternative in nash equilibrium. specifically, we are interested in nash equilibria that are obtained via sequences of rational strategic moves. focusing on three common voting rules — plurality, veto, and borda — we provide very positive results for plurality and very negative results for borda, and place veto in the middle of this spectrum."
56,Incremental Learning Framework for Indoor Scene Recognition,scene recognition incremental learning and clustering robotics vision,"Human-Robot Interaction
Vision, Object Recognition, and Perception",Robotics,"this paper presents a novel framework for online incremental place recognition in an indoor environment. the framework addresses the scenario in which scene images are gradually obtained during long-term operation in the real-world indoor environment. multiple users may interact with the classification system and confirm either current or past prediction results; the system then immediately updates itself to improve the classification system. this framework is based on the proposed n-value self-organizing and incremental neural network (n-soinn), which has been derived by modifying the original soinn to be appropriate for use in scene recognition. the evaluation was performed on the standard mit 67-category indoor scene dataset and shows that the proposed framework achieves the same accuracy as that of the state-of-the-art offline method, while the computation time of the proposed framework is significantly faster and fully incremental update is allowed. additionally, a small extra set of training samples is incrementally given to the system to simulate the incremental learning situation. the result shows that the proposed framework can leverage such additional samples incrementally and achieve the state-of-the-art result."
57,A Topic-Based Coherence Model for Statistical Machine Translation,coherence statistical machine translation document-level statistical machine translation topic model,"Discourse and Dialogue
Semantics and Summarization
Natural Language Processing (General/Other)",Natural Language Processing,"coherence that ties sentences of a text into a meaningfully connected structure is of great importance to text generation and translation. in this paper, we propose a topic-based coherence model to produce coherence for document translation, in terms of the continuity of sentence topics in a text. we automatically extract a coherence chain for each source text to be translated. based on the extracted source coherence chain, we adopt a maximum entropy classifier to predict the target coherence chain that defines a linear topic structure for the target document. the proposed topic-based coherence model then uses the predicted target coherence chain to help decoder select coherent word/phrase translations. our experiments show that incorporating the topic-based coherence model into machine translation achieves substantial improvement over both the baseline and previous methods that integrate document topics rather than coherence chains into machine translation."
58,Qualitative Planning under Partial Observability in Multi-Agent Domains,dec-pomdp planning multi-agent,"Multiagent Planning
Planning (General/Other)","Multiagent Systems
Reasoning about Plans, Processes, and Actions","decentralized pomdps (dec-pomdps) provide a rich, attractive model for planning under uncertainty and partial observability in cooperative multi-agent domains with a growing body of research. in this paper we formulate a qualitative, propositional model for multi-agent planning under uncertainty with partial observability, which we call qdec-pomdp. we show that the worst-case complexity of planning in qdec-pomdps is similar to that of dec-pomdps. still, because the model is more classical in nature, it is more compact and easier to specify. furthermore, it eases the adaptation of methods used in classical and contingent planning to solve problems to which dec-pomdps solution techniques cannot scale up. in particular, in this paper we describe a method based on compilation to classical planning, which handles multi-agent planning problems significantly larger than those handled by current dec-pomdp algorithms."
59,Multi-agent Knowledge and Belief Change in the Situation Calculus,belief change multi-agent systems situation calculus,"Action, Change, and Causality
Belief Change
Reasoning with Beliefs",Knowledge Representation and Reasoning,"belief change is an important research area in artificial intelligence. it becomes more perplexing in the presence of multiple agents, since the action of an agent may be partially observable to other agents. in this paper, we present a general approach to reasoning about actions and belief change in multi-agent scenarios. our approach is based on a multi-agent extension to the situation calculus, augmented by a plausibility relation over situations and another one over actions, which is used to represent agents' different perspectives on actions. when an action is performed, we update the agents' plausibility order over situations by giving priority to the plausibility order over actions, in line with the agm approach of giving priority to new information. we show that our notion of belief satisfies kd45 properties. when it comes to the special case of belief change of a single agent, we show that our framework satisfies most of the classical agm, dp, and km postulates. finally, we present properties concerning the change of common knowledge and belief of a group of agents."
60,From Interest to Function: Location Estimation in Social Media,location estimation interest mining social media,"Data Mining and Knowledge Discovery
Social Networks","Machine Learning
Applications","recent years have witnessed the tremendous development of the social media, which possesses a vast number of internet users. the high-dimension content generated by these users provides a unique opportunity to understand their behavior deeply. as one of the most fundamental topics, location estimation attracts more and more research efforts. different from the previous literature, we find that user location is strongly related with user interest. based on this, we first build an detection model to mining user interest from short text, then the mapping between location function and user interest is established and an efficient model is finally presented to predict the user location with convincing fidelity. thorough evaluations and comparisons on an authentic data set show that our model outperforms the previous approaches greatly and the high efficiency also guarantees its applicability in real-world scenarios."
61,Integrating Programing by Example and Natural Language Programing,programing by example natural language programing natural language processing supervised learning,"Intelligent User Interfaces
Other Multidisciplinary Topics
Natural Language Processing (General/Other)","Multidisciplinary Topics
Natural Language Processing","we motivate the integration of programming by example and natural language programming by developing a system for specifying programs for simple text editing operations. the programs are described with unconstrained natural language instructions, and providing a single example of input/output. we show that natural language allows the system to deduce the correct program much more often and much faster than is possible with the input/output example(s) alone, showing that natural language programming and programming by example can be combined in a way that overcomes the ambiguities that both methods suffer from individually, with a minimum of additional effort from the user."
62,Filtering with Logic Programs and its Application to General Game Playing,general game playing filtering with logic programs abductive logic programming,"Action, Change, and Causality
Knowledge Representation (General/Other)
Games and Game Playing","Knowledge Representation and Reasoning
Applications","motivated by the problem of building a basic reasoner for general game playing with imperfect information, we address the problem of filtering with logic programs, whereby an agent updates its incomplete knowledge of a program by observations. we develop a filtering method by adapting an existing backward-chaining and abduction method for so-called open logic programs. experimental results show that this provides for a basic effective and efficient legal player for general imperfect-information games."
63,Supervised Nonnegative Tensor Factorization with Maximum-Margin Constraints,supervised tensor factorization maximum-margin,"Classification
Supervised Learning (Other)
Machine Learning (General/other)","Machine Learning
Natural Language Processing","non-negative tensor factorization (ntf) has attracted great attention in the machine learning community. in this paper, we extend traditional non-negative tensor factorization into a supervised discriminative decomposition, referred as supervised non-negative tensor factorization with maximum-margin constraints (sntfm^2). sntfm^2 formulates the optimal discriminative factorization of non-negative tensorial data as a coupled least-squares optimization problem via a maximum-margin method. as a result, sntfm^2 not only faithfully approximates the tensorial data by additive combinations of the basis, but also obtains a strong generalization power to discriminative analysis (in particular for classification in this paper). the experimental results show the superiority of our proposed model over state-of-the-art techniques on both toy and real world data sets."
64,The Automated Acquisition of Suggestions from Tweets,suggestion classification factorization machines feature sparsity imbalance classification tweets,"Text Classification
Natural Language Processing (General/Other)",Natural Language Processing,"this paper targets at automatically detecting and classifying user's suggestions from tweets. the short and informal nature of tweets, along with the imbalanced characteristics of suggestion tweets, makes the task extremely challenging. to this end, we develop a classification framework on factorization machines, which is effective and efficient especially in classification tasks with feature sparsity settings. moreover, we tackle the imbalance problem by introducing cost-sensitive learning techniques in factorization machines. extensively experimental studies on a manually annotated real-life data set show that the proposed approach significantly improves the baseline approach, and yields the precision of 71.06% and recall of 67.86%. we also investigate the reason why factorization machines perform better. finally, we introduce the first manually annotated dataset for suggestion classification."
65,Supervised Coupled Dictionary Learning with Group Structures for Multi-modal Retrieval,multi-modal retrieval dictionary learning supervised learning sparse coding,"Preferences/Ranking Learning
Supervised Learning (Other)
Machine Learning (General/other)",Machine Learning,"a better similarity mapping function across heterogenous high-dimensional features is very desirable for many applications involving multi-modal data. in this paper, we introduce coupled dictionary learning (dl) into supervised sparse coding for multimodal retrieval. we call this supervised coupled-dictionary learning with group structures for multi-modal retrieval(slim^2). slim^2 formulates the multi-modal metric learning as a constrained dictionary learning problem. by the utilization of intrinsic power of dealing with the heterogenous features in dl, slim^2 first extends uni-modal dl to multi-modal dl. moreover, the label information is employed in slim^2 to discover the shared structure inside intra-modality within a same class by a mixed norm (i.e., l_1/ l_2 norm). at last, the multi-modal retrieval is conducted via a jointly learned mapping function across multi-modal data. the experimental results show the effectiveness of our proposed model when applied to multi-modal retrieval."
66,When is Brute-Force Avoidable for CSP?,exact algorithms for csp exponential time hypothesis subexponential time complexity theoretical analysis of csp foundational issues,"SAT and CSP: Evaluation and Analysis
Constraint Satisfaction",Constraints and Satisfiability,"a constraint satisfaction problem (csp) with $n$ variables ranging over a domain of $d$ values can be solved by brute-force in $d^n$ steps (omitting a polynomial factor). with a more careful approach, this trivial upper bound can be improved for certain natural restrictions of the csp (feder and motwani 2002; beigel and eppstein 2005; razgon 2006; grandoni and italiano 2006). in this paper we establish theoretical limits to such improvements, and draw a detailed landscape of the subexponential-time complexity of csp. we first establish relations between the subexponential-time complexity of csp and that of other problems, including cnf-sat. we exploit this connection to provide tight characterizations of the subexponential-time complexity of csp under common assumptions in complexity theory. for several natural csp parameters, we obtain threshold functions that precisely dictate the subexponential-time complexity of csp with respect to the parameters under consideration. our analysis provides fundamental results indicating whether and when one can significantly improve on the brute-force search approach for solving csp."
67,Efficient evolutionary dynamics with extensive-form games,evolutionary game theory extensive-form games replicator dynamics,"Game Theory
Multiagent Learning",Multiagent Systems,"evolutionary game theory combines game theory and dynamical systems and is customarily adopted to describe evolutionary dynamics in multi-agent systems. in particular, it has been proven to be a successful tool to describe multi-agent learning dynamics. to the best of our knowledge, we provide in this paper the first replicator dynamics applicable to the sequence form of an extensive-form game, allowing an exponential reduction of time and space w.r.t. the currently adopted replicator dynamics for normal form. furthermore, our replicator dynamics is realization equivalent to the standard replicator dynamics for normal form. we prove our results for both discrete-time and continuous-time cases. finally, we extend standard tools to study the stability of a strategy profile to our replicator dynamics."
68,A Framework for Aggregating Influenced CP-nets and its Resistance to Bribery,preference aggregation cp-nets influence bribery,"Preferences
Social Choice / Voting","Knowledge Representation and Reasoning
Multiagent Systems","we consider multi-agent settings where a set of agents want to take a collective decision, based on their preferences over the possible candidate options. while agents have their initial inclination, they may interact and influence each other, and therefore modify their preferences, until hopefully they reach a stable state and declare their final inclination. at that point, a voting rule is used to aggregate the agents' preferences and generate the collective decision. recent work has modeled the influence phenomenon in the case of voting over a single issue. here we generalize this model to account for preferences over combinatorially structured domains including several issues. we propose a way to model influence when agents express their preferences as cp-nets. we define two procedures for aggregating preferences in this scenario, by interleaving voting and influence convergence, and we study their resistance to bribery."
69,"On Power law kernels, corresponding Reproducing Kernel Hilbert Space and applications",kernels power law tsallis distributions reproducing kernel hilbert space,Kernel Methods,Machine Learning,"the role of kernels is central to machine learning. motivated by the importance of power law distributions in statistical modeling, in this paper, we propose the notion of power law kernels to investigate power laws in learning problem. we propose two power law kernels by generalizing gaussian and laplacian kernels. this generalization is based on distributions, arising out of maximization of a generalized information measure known as nonextensive entropy that is very well studied in statistical mechanics. we prove that the proposed kernels are positive definite, and provide some insights regarding the corresponding reproducing kernel hilbert space (rkhs). we also study practical significance of both kernels in classification and regression, and present some simulation results."
70,"Search More, Disclose Less",comparison shopping agents information disclosure experimentation,"E-Commerce
Evaluation and Analysis (Multiagent Systems)
Multiagent Systems (General/other)",Multiagent Systems,"experienced shoppers know that the best way to make sure you are getting the best deal for your money is comparison shop before making a purchase. in today's online world, comparison shopping can be substantially facilitated through the use of comparison shopping agents (csas). these web-based intelligent software applications allow checking out many online stores prices, saving buyers time and money. the blooming of csas in recent years enables buyers in today's markets to query more than a single csa per their search, thus substantially expanding the list of sellers whose prices they obtain. from the individual csa point of view, however, the multi-csas querying is definitely non-favorable as most of today's csas benefit depends on payments they receive from sellers upon transferring buyers to their websites (and making a purchase). the most straightforward way for the csa to improve its competence is through spending more resources on getting more sellers' prices, potentially resulting in a more attractive best price. in this paper we suggest a complementary approach that improves the attractiveness of the best price returned to the buyer without having to extend the csas' price database. the approach, which we term ``selective price disclosure'' relies on removing some of the prices known to the csa from the list of results returned to the buyer. the advantage of this approach is in the ability to affect the buyer's beliefs regarding the probability of obtaining more attractive prices if querying additional csas. the paper presents two methods for choosing the subset of prices to be presented to a fully-rational buyer, attempting to overcome the computational complexity associated with evaluating all possible subsets. the effectiveness and efficiency of the methods are demonstrated using real data, collected from five csas for four product. furthermore, since people are known to be inherently bounded rational, the two methods are also evaluated with human buyers, demonstrating that selective price-disclosing can be highly effective with people, however the subset of prices that needs to be used should be extracted in a different (and more simplistic) manner."
71,Red-Black Relaxed Plan Heuristics,classical planning heuristic search delete relaxation,"Heuristic Search
Deterministic Planning","Heuristic Search and Optimization
Reasoning about Plans, Processes, and Actions","despite its success, the delete relaxation has significant pit- falls in many important classes of planning domains. recent work has devised the red-black planning framework, where red variables take the relaxed semantics, in which they accumulate their values rather than switching between them, as opposed to black variables that take the regular semantics. provided the red variables are chosen so that red-black plan generation is tractable, one can generate such a plan for every search state, and take its length as the heuristic distance estimate. previous results were not suitable for this purpose because they identified tractable fragments for red-black plan existence, as opposed to red-black plan generation. we identify a new fragment of red-black planning, that fixes this issue. we devise machinery to efficiently generate red-black plans, and to automatically select the red variables. experiments show that the resulting heuristics can significantly improve over standard delete relaxation heuristics."
72,Vector-valued Multi-view Semi-supervised Learning for Multi-label Image Classification,image classification semi-supervised multi-label multi-view vector-value manifold,"Classification
Ensemble Methods
Kernel Methods
Semisupervised Learning",Machine Learning,"images are usually associated with multiple labels and comprised of multiple views, due to each image containing several objects (e.g. a pedestrian, bicycle and tree) and multiple visual features (e.g. color, texture and shape). currently available tools tend to use either labels or features for classification, but both are necessary to describe the image properly. there have been recent successes in using vector-valued functions, which construct matrix-valued kernels, to explore the multi-label structure in the output space. this has motivated us to develop multi-view vector-valued manifold regularization (mv$^3$mr) in order to integrate multiple features. mv$^3$mr exploits the complementary properties of different features, and discovers the intrinsic local geometry of the compact support shared by different features, under the theme of manifold regularization. we validate the effectiveness of the proposed mv$^3$mr methodology for image classification by conducting extensive experiments on two challenge datasets, pascal voc' 07 and mir flickr."
73,Temporal Milestones in HTNs,temporal reasoning htn representation and planning simple temporal networks,"Geometric, Spatial, and Temporal Reasoning
Temporal Planning
Constraint Satisfaction","Constraints and Satisfiability
Knowledge Representation and Reasoning
Reasoning about Plans, Processes, and Actions","we present temporal milestones for hierarchical task networks to enable the complex synchronization of tasks. a temporal milestone of a task is an intermediate event that occurs during the execution of a complex task, e.g., the start time, the end time or a milestone of any of its subtasks. unlike landmark variables, introduced in existing work, temporal milestones respect the task abstraction boundaries and preserve structural properties enabling much more efficient reasoning. furthermore, temporal milestones are expressive as landmark variables. we provide analytical and empirical evidence to support these claims."
